   n          Emf           Eo            X         SX-X           CH          Sig          Vxc         Eqp0         Eqp1
 111    12.003047    12.003047    -6.089893     3.308274   -10.677459   -10.475195   -10.579770    12.107622    12.107622
 112    12.003047    12.003047    -6.089893     3.308277   -10.674615   -10.475195   -10.579770    12.107622    12.107622
 113    12.005571    12.005571    -6.104103     3.318682   -10.681522   -10.483858   -10.587567    12.109279    12.109279
 114    12.005571    12.005571    -6.104103     3.318680   -10.683402   -10.483858   -10.587567    12.109279    12.109279
 115    12.005572    12.005572    -6.104021     3.315773   -10.677227   -10.483858   -10.587565    12.109278    12.109278
 116    12.005572    12.005572    -6.104021     3.315776   -10.679701   -10.483858   -10.587565    12.109278    12.109278
 117    13.990612    13.990612    -4.133661     2.150275    -9.949189    -9.534586   -10.052240    14.508266    14.508266
 118    13.990612    13.990612    -4.133661     2.150275    -9.948205    -9.534586   -10.052240    14.508266    14.508266
 119    13.990632    13.990632    -4.727214     2.388109    -9.530709    -9.886136   -10.053414    14.157910    14.157910
 120    13.990632    13.990632    -4.727214     2.388109    -9.494586    -9.886136   -10.053414    14.157910    14.157910
 121    14.170068    14.170068    -2.209244     0.759216    -8.485957    -8.133034    -7.734312    13.771345    13.771345
 122    14.170068    14.170068    -2.209244     0.759216    -8.485426    -8.133034    -7.734312    13.771345    13.771345
 123    14.282658    14.282658    -5.381199     2.623706   -10.379320   -10.472420   -10.708510    14.518748    14.518748
 124    14.282658    14.282658    -5.381199     2.623706   -10.381435   -10.472420   -10.708510    14.518748    14.518748
 125    14.282660    14.282660    -5.381060     2.623555   -10.374001   -10.472420   -10.708511    14.518751    14.518751
 126    14.282660    14.282660    -5.381060     2.623555   -10.373562   -10.472420   -10.708511    14.518751    14.518751
 127    15.213872    15.213872    -4.347796     2.093446   -10.025715    -9.822462   -10.075237    15.466646    15.466646
